Subj,Sex,Age,Condition,tLoc,tShape,tCol,TrainCount,AvgTrain,Overall_Training,Overall_Space,Overall_Feature,Overall_Conflict,B1_Training,B1_Space,B1_Feature,B1_Conflict,B2_Training,B2_Space,B2_Feature,B2_Conflict,Color_Training,Color_Space,Color_Feature,Color_Conflict,Shape_Training,Shape_Space,Shape_Feature,Shape_Conflict,B1_Color_Training,B1_Color_Space,B1_COlor_Feature,B1_Color_Conflict,B1_Shape_Training,B1_Shape_Space,B1_Shape_Feature,B1_Shape_Conflict
1,M,4,Shape,Left,Square,Green,114,4.75,0.964912281,0.625,0.5,0.75,0.933333333,1,1,1,1,1,0,0,0.966101695,0.25,0.5,1,0.963636364,1,0.5,0.5,NaN,NaN,NaN,NaN,0.933333333,1,1,1
2,M,4.41,Color,Right,Circle,lBlue,127,5.291666667,0.913385827,0.75,0.5,0.5,0.882352941,1,1,1,0.928571429,1,0,0,0.903225806,1,0.5,0.5,0.923076923,0.5,0.5,0.5,0.882352941,1,1,1,NaN,NaN,NaN,NaN
3,F,3.9,Shape,Right,Square,Green,116,5.227272727,0.939655172,0.375,0.428571429,0.714285714,0.933333333,1,0,0,1,0,1,1,0.913793103,0.25,0.333333333,0.666666667,0.965517241,0.5,0.5,0.75,NaN,NaN,NaN,NaN,0.933333333,1,0,0
4,M,4.2,Color,Left,Circle,lBlue,72,5.307692308,0.958333333,1,1,0.75,0.941176471,1,1,0,1,1,1,1,0.951219512,1,1,0.5,0.967741935,1,1,1,0.941176471,1,1,0,NaN,NaN,NaN,NaN
5,M,4.4,Shape,Left,Square,Green,125,5.208333333,0.968,0.625,0.875,1,0.888888889,1,1,1,1,1,0,1,0.983606557,0.5,1,1,0.953125,0.75,0.75,1,NaN,NaN,NaN,NaN,0.888888889,1,1,1
6,F,4.5,Color,Right,Circle,lBlue,163,6.791666667,0.889570552,0.875,0.625,0.75,0.944444444,1,1,1,0.944444444,1,1,0,0.929577465,1,0.75,0.75,0.858695652,0.75,0.5,0.75,0.944444444,1,1,1,NaN,NaN,NaN,NaN
7,M,3.66,Shape,Right,Square,Green,126,5.25,0.873015873,0.5,0.625,0.75,0.833333333,1,1,0,1,1,0,1,0.857142857,0.25,0.75,0.75,0.892857143,0.75,0.5,0.75,NaN,NaN,NaN,NaN,0.833333333,1,1,0
8,F,4.69,Color,Left,Circle,lBlue,98,4.083333333,0.918367347,0.75,1,1,0.928571429,1,1,1,1,1,1,1,0.884615385,0.75,1,1,0.956521739,0.75,1,1,0.928571429,1,1,1,NaN,NaN,NaN,NaN
9,M,3.55,Shape,Left,Square,Green,122,5.083333333,0.893442623,0.75,1,0.625,0.882352941,1,1,0,1,1,1,1,0.855072464,0.75,1,0.5,0.943396226,0.75,1,0.75,NaN,NaN,NaN,NaN,0.882352941,1,1,0
10,M,3.5,Color,Right,Circle,lBlue,98,4.083333333,0.93877551,0.875,1,0.875,1,1,1,1,1,1,1,1,0.93877551,1,1,0.75,0.93877551,0.75,1,1,1,1,1,1,NaN,NaN,NaN,NaN
11,F,3.77,Shape,Right,Square,Green,97,4.041666667,0.927835052,0.625,1,0.875,0.923076923,1,1,1,1,0,1,1,0.897959184,0.75,1,1,0.958333333,0.5,1,0.75,NaN,NaN,NaN,NaN,0.923076923,1,1,1
12,M,3.77,Color,Left,Circle,lBlue,114,4.75,0.859649123,0.875,0.75,0.875,0.722222222,1,1,1,0.846153846,1,0,1,0.836363636,1,0.75,1,0.881355932,0.75,0.75,0.75,0.722222222,1,1,1,NaN,NaN,NaN,NaN
13,M,3.49,Shape,Left,Square,Green,115,4.791666667,0.869565217,0.75,0.75,1,0.692307692,0,1,1,0.923076923,1,1,1,0.921568627,1,0.75,1,0.828125,0.5,0.75,1,NaN,NaN,NaN,NaN,0.692307692,0,1,1
14,F,4.12,Color,Right,Circle,lBlue,144,6,0.902777778,0.75,0.75,0.875,0.842105263,1,1,1,0.882352941,1,1,1,0.890410959,0.75,0.5,1,0.915492958,0.75,1,0.75,0.842105263,1,1,1,NaN,NaN,NaN,NaN
15,M,4.12,Color,Right,Circle,lBlue,129,5.375,0.945736434,1,0.5,0.5,0.9375,1,0,0,0.9375,1,0,1,0.925373134,1,0.5,0.5,0.967741935,1,0.5,0.5,0.9375,1,0,0,NaN,NaN,NaN,NaN
16,F,3.57,Color,Left,Circle,lBlue,134,5.583333333,0.932835821,0.75,0.875,0.625,0.9375,1,1,1,0.9375,1,1,0,0.939393939,1,1,0.5,0.926470588,0.5,0.75,0.75,0.9375,1,1,1,NaN,NaN,NaN,NaN
17,M,4.03,Shape,Left,Square,Green,131,5.458333333,0.946564885,0.875,1,0.875,0.9375,1,1,1,1,1,1,1,0.967741935,0.75,1,1,0.927536232,1,1,0.75,NaN,NaN,NaN,NaN,0.9375,1,1,1
18,F,3.63,Color,Right,Circle,lBlue,140,5.833333333,0.928571429,0.875,1,0.375,1,1,1,1,1,1,1,1,0.984126984,1,1,0.5,0.883116883,0.75,1,0.25,1,1,1,1,NaN,NaN,NaN,NaN
19,F,4.45,Shape,Right,Square,Green,124,5.166666667,0.975806452,0.625,0.875,1,0.941176471,1,1,1,1,0,1,1,0.983606557,1,0.75,1,0.968253968,0.25,1,1,NaN,NaN,NaN,NaN,0.941176471,1,1,1
20,F,4.08,Color,Left,Circle,lBlue,142,5.916666667,0.901408451,0.75,0.75,1,0.882352941,0,1,1,0.916666667,0,1,1,0.883116883,0.5,0.75,1,0.923076923,1,0.75,1,0.882352941,0,1,1,NaN,NaN,NaN,NaN
21,M,4.13,Shape,Left,Square,Green,168,8.4,0.797619048,0.857142857,0.571428571,0.833333333,0.888888889,1,1,1,0.9,0,0,1,0.75308642,1,1,1,0.83908046,0.75,0.25,0.75,NaN,NaN,NaN,NaN,0.888888889,1,1,1
22,M,3.98,Color,Right,Circle,lBlue,130,5.416666667,0.946153846,0.875,1,1,0.888888889,0,1,1,1,1,1,1,0.968253968,0.75,1,1,0.925373134,1,1,1,0.888888889,0,1,1,NaN,NaN,NaN,NaN
23,M,4.3,Shape,Right,Square,Green,129,5.375,0.96124031,0.625,0.875,0.75,0.882352941,1,1,1,1,1,1,1,0.983606557,0.5,0.75,1,0.941176471,0.75,1,0.5,NaN,NaN,NaN,NaN,0.882352941,1,1,1
24,M,4.58,Color,Left,Circle,lBlue,97,5.388888889,0.948453608,1,0.666666667,0.833333333,0.9375,1,1,1,1,1,1,1,0.967741935,1,1,1,0.939393939,1,0.5,0.75,0.9375,1,1,1,NaN,NaN,NaN,NaN
25,M,4.03,Shape,Left,Square,Green,150,6.25,0.886666667,0.5,1,0.625,0.818181818,1,1,0,0.9375,0,1,1,0.907894737,0.25,1,0.75,0.864864865,0.75,1,0.5,NaN,NaN,NaN,NaN,0.818181818,1,1,0
26,M,4.4,Color,Right,Circle,lBlue,146,6.083333333,0.917808219,0.75,0.625,0.625,0.863636364,1,1,1,1,1,1,0,0.929577465,1,1,0.5,0.906666667,0.5,0.25,0.75,0.863636364,1,1,1,NaN,NaN,NaN,NaN
27,M,3.69,Color,Right,Circle,lBlue,119,5.388888889,0.915966387,0.666666667,0.833333333,0.833333333,0.941176471,1,1,1,0.941176471,1,1,1,0.96875,1,0.75,0.75,0.854545455,0,1,1,0.941176471,1,1,1,NaN,NaN,NaN,NaN
28,F,3.92,Color,Left,Circle,lBlue,144,6,0.902777778,0.625,1,0.875,0.944444444,0,1,1,1,0,1,1,0.913043478,0.25,1,1,0.893333333,1,1,0.75,0.944444444,0,1,1,NaN,NaN,NaN,NaN
29,M,3.67,Shape,Left,Square,Green,184,7.666666667,0.869565217,0.625,0.875,0.75,0.85,1,1,1,0.947368421,1,1,1,0.865168539,0.25,1,0.75,0.873684211,1,0.75,0.75,NaN,NaN,NaN,NaN,0.85,1,1,1
30,M,3.67,Color,Right,Circle,lBlue,139,5.791666667,0.899280576,0.625,0.875,0.875,0.761904762,1,1,0,0.9375,1,1,1,0.897058824,0.75,0.75,0.75,0.901408451,0.5,1,1,0.761904762,1,1,0,NaN,NaN,NaN,NaN
31,F,3.78,Shape,Right,Square,Green,128,5.333333333,0.9375,0.625,0.75,1,0.882352941,1,1,1,0.833333333,1,0,1,0.967741935,0.5,1,1,0.909090909,0.75,0.5,1,NaN,NaN,NaN,NaN,0.882352941,1,1,1
32,F,3.81,Color,Left,Circle,lBlue,149,6.208333333,0.906040268,0.75,0.875,0.625,0.909090909,1,1,1,0.947368421,1,1,1,0.907894737,1,1,0.75,0.904109589,0.5,0.75,0.5,0.909090909,1,1,1,NaN,NaN,NaN,NaN
33,F,3.79,Shape,Left,Square,Green,174,7.25,0.856321839,0.625,0.875,1,0.698113208,1,1,1,1,1,1,1,0.893333333,0.5,0.75,1,0.828282828,0.75,1,1,NaN,NaN,NaN,NaN,0.698113208,1,1,1
34,F,4.51,Shape,Right,Circle,lBlue,145,6.041666667,0.910344828,0.75,1,1,0.842105263,1,1,1,0.857142857,1,1,1,0.939393939,0.75,1,1,0.886075949,0.75,1,1,NaN,NaN,NaN,NaN,0.842105263,1,1,1
35,M,3.7,Shape,Right,Square,Green,167,9.277777778,0.77245509,0.833333333,0.666666667,0.333333333,0.666666667,1,1,1,0.882352941,0,1,0,0.814814815,1,0.5,0.5,0.752212389,0.75,0.75,0.25,NaN,NaN,NaN,NaN,0.666666667,1,1,1
36,F,4.34,Color,Left,Circle,lBlue,170,7.083333333,0.882352941,0.75,1,1,0.941176471,0,1,1,1,1,1,1,0.953125,0.5,1,1,0.839622642,1,1,1,0.941176471,0,1,1,NaN,NaN,NaN,NaN
37,M,4.16,Shape,Right,Square,Green,125,5.208333333,0.96,0.625,0.75,0.875,0.9375,1,1,1,1,0,1,1,0.967741935,0.75,0.5,0.75,0.952380952,0.5,1,1,NaN,NaN,NaN,NaN,0.9375,1,1,1
38,F,3.98,Color,Right,Square,Green,147,6.125,0.904761905,0.875,0.75,0.75,0.85,1,1,1,1,0,1,1,0.891891892,0.75,1,0.75,0.917808219,1,0.5,0.75,0.85,1,1,1,NaN,NaN,NaN,NaN
39,M,3.65,Shape,Right,Square,Green,100,5.555555556,0.94,1,0.833333333,0.666666667,0.9375,1,0,1,1,1,1,0,0.909090909,1,1,0.5,0.955223881,1,0.75,0.75,NaN,NaN,NaN,NaN,0.9375,1,0,1
40,M,3.76,Shape,Right,Circle,Green,145,8.055555556,0.868965517,0.666666667,0.833333333,0.666666667,0.88,1,1,1,1,1,1,1,0.88372093,0.5,1,0.5,0.862745098,0.75,0.75,0.75,NaN,NaN,NaN,NaN,0.88,1,1,1
41,M,3.56,Shape,Left,Square,Green,150,6.25,0.9,0.75,0.875,0.625,0.863636364,1,1,0,1,0,0,1,0.883116883,1,1,0.5,0.917808219,0.5,0.75,0.75,NaN,NaN,NaN,NaN,0.863636364,1,1,0
42,F,3.82,Color,Right,Circle,lBlue,125,5.208333333,0.96,1,0.875,1,0.882352941,1,1,1,1,1,1,1,0.952380952,1,1,1,0.967741935,1,0.75,1,0.882352941,1,1,1,NaN,NaN,NaN,NaN
43,M,3.62,Shape,Right,Square,Green,48,8,0.854166667,1,1,1,0.909090909,1,1,1,0.807692308,1,1,1,NaN,NaN,NaN,NaN,0.854166667,1,1,1,NaN,NaN,NaN,NaN,0.909090909,1,1,1
44,F,3.7,Color,Left,Circle,lBlue,125,5.208333333,0.968,0.875,1,1,0.941176471,1,1,1,1,1,1,1,0.968253968,1,1,1,0.967741935,0.75,1,1,0.941176471,1,1,1,NaN,NaN,NaN,NaN
45,F,3.79,Shape,Left,Square,Green,34,5.333333333,0.911764706,1,0.5,0.5,0.882352941,1,0,1,1,1,1,0,0.5,NaN,NaN,NaN,0.9375,1,0.5,0.5,NaN,NaN,NaN,NaN,0.882352941,1,0,1
46,M,3.75,Color,Right,Circle,lBlue,131,5.458333333,0.954198473,0.875,1,0.75,0.9375,0,1,1,1,1,1,1,0.954545455,0.75,1,0.75,0.953846154,1,1,0.75,0.9375,0,1,1,NaN,NaN,NaN,NaN
